ID,Name,Batch,Math,Science,English,History,Computer
STD0075,Kiran Shrestha,B,71.0,98.0,76.0,53.0,72.0
STD0076,Anil Rai,C,80.0,82.0,55.0,44.0,75.0
STD0077,Shyam Rai,C,48.0,51.0,73.0,95.0,88.0
STD0078,Urmila Shrestha,A,83.0,76.0,90.0,92.0,43.0
STD0079,Samrat Thapa,A,82.0,74.0,88.0,40.0,75.0
STD0080,Prakash Gurung,B,93.0,47.0,40.0,43.0,95.0
STD0081,Samrat Poudel,B,93.0,80.0,79.0,97.0,74.0
STD0082,Nisha Gurung,A,73.0,89.0,51.0,72.0,93.0
STD0083,Hari Basnet,A,75.0,57.0,77.0,73.0,80.0
STD0084,Nisha Poudel,C,51.0,,52.0,57.0,50.0
STD0085,Urmila Karki,B,53.0,72.0,83.0,37.0,37.0
STD0086,Manoj Karki,C,66.0,85.0,75.0,95.0,97.0
STD0087,Kabita Bhandari,C,69.0,93.0,,55.0,53.0
STD0088,Anil Basnet,B,58.0,80.0,99.0,41.0,74.0
STD0089,Manoj Thapa,A,64.0,95.0,68.0,53.0,94.0
STD0090,Kabita Thapa,C,99.0,94.0,100.0,45.0,73.0
STD0091,Suresh KC,C,,100.0,85.0,88.0,39.0
STD0092,Prakash Basnet,C,74.0,36.0,40.0,85.0,94.0
STD0093,Gita Karki,B,37.0,49.0,47.0,48.0,53.0
STD0094,Nisha Gurung,C,39.0,57.0,75.0,42.0,37.0
STD0095,Gita Basnet,A,54.0,51.0,36.0,37.0,100.0
STD0096,Rojina Thapa,A,59.0,52.0,56.0,79.0,71.0
STD0097,Sita Bhandari,B,73.0,67.0,40.0,54.0,68.0
STD0098,Prakash Karki,B,76.0,56.0,55.0,89.0,97.0
STD0099,Rojina Rai,A,39.0,87.0,90.0,46.0,81.0
STD0100,Sandhya Thapa,B,74.0,69.0,89.0,84.0,46.0
